sentence,target_logits,concept_logits,concept_gradient,label,concept_label
<user> the same people who defend a woman right to post ass pics on instagram are the same to try and push them out of a job and suddenly say it degrading to them will you ugly dykes pick something to be offended by and stick with it,[[0.78788745 0.21211255]],[[0.03837953 0.01466847 0.87569857]],[[-0.01733156  0.31532127  0.03438236]],1,[[0. 0. 1.]]
see how lefties turn on their poster girl aung san suu kyi mynarmar cos she will not bend to dhimmi traitor politicians un by appeasing moslems unhcr head is a moslem screams genocide irony yet mentions nothing of ongoing moslem genocide of christians in middle east me says go for it aung,[[0.75706667 0.24293333]],[[0.03186924 0.9804022  0.16950013]],[[0.0727323  0.34111696 0.03775112]],1,[[0. 1. 0.]]
i am so glad i am home time to stare at the wall and listen to some sweet music see ya later niggerz,[[0.01388902 0.9861109 ]],[[0.99060786 0.07991319 0.16897829]],[[ 0.18710299 -0.01959296  0.00837524]],0,[[1. 0. 0.]]
this neighbor at <number> has plates 3 d on his black audi is he going to kill me 134 days prior to valentines day or is he just an anti gay bigot who likes 3 d printers and hates on faggots now he has backed in the black explorer,[[0.04006372 0.9599363 ]],[[0.55277663 0.02249278 0.12108349]],[[ 0.1927009  -0.07573208 -0.02391507]],0,[[0. 0. 0.]]
<user> <user> but im a good goy i dindu nuffin,[[0.10698239 0.8930176 ]],[[0.50985014 0.05371306 0.2021165 ]],[[0.206526   0.04853356 0.04370435]],0,[[0. 0. 0.]]
<user> same we should just kill all the da ron of the world,[[0.31285423 0.68714577]],[[0.14960709 0.01059784 0.15917398]],[[ 0.24527138 -0.11415083 -0.0234751 ]],0,[[0. 0. 0.]]
wishful thinking mr president these people will always hate you white man do not you get it yet u <user> stated that whichs very dangerous why do u refuse to understand that king kike trumps a genetic jew on his dads side wow hes its not an anglo saxon white man white nations,[[0.00312451 0.9968755 ]],[[0.36160433 0.99678874 0.15391111]],[[ 0.15802151 -0.07334327  0.00963734]],0,[[0. 0. 0.]]
everybody say dyke keep it goin,[[0.43928498 0.560715  ]],[[0.19259897 0.00367686 0.73691314]],[[ 0.26907805 -0.10270432 -0.01594741]],0,[[0. 0. 0.]]
we dressed with big dyke energy today and wanna show off but we are too scared to do a face reveal,[[0.3628353  0.63716465]],[[0.12620181 0.01854145 0.36080965]],[[ 0.2344722  -0.06743985 -0.01598455]],0,[[0. 0. 0.]]
they do not tolerate mohajirs been crammed in the slums of karachi daily being told2go back2india there can be no nonmuslim refugees2pak bdesh every1 knows the same night mulla goons will dash in their homes lift up the women kill them law will ignore,[[0.07778268 0.92221737]],[[0.13180877 0.93206394 0.3245134 ]],[[ 0.2520179  -0.06667771 -0.01372429]],0,[[0. 1. 0.]]
chambers pls do not get raped today,[[0.42450964 0.5754903 ]],[[0.03659303 0.50393695 0.86019295]],[[ 0.15796682 -0.06364694 -0.01184332]],0,[[0. 0. 0.]]
these guys r more interested in placating a mob than in free speech <user> kessler <number> c ville city council he stood up <number> white people called the shouters the anti white kk <happy> city council mbr he close <number> hate speech scattered sheboon outbursts w heavy ebonics downpour thru out,[[0.79651755 0.20348245]],[[0.37926617 0.1784036  0.02645693]],[[ 0.0051512   0.2759984  -0.02377365]],1,[[1. 0. 1.]]
instead of shooting the nigga you beefing with please somebody kill donald trump at this point his ass playing with our money,[[0.43214968 0.5678503 ]],[[0.8803049  0.01264888 0.4092265 ]],[[ 0.26172522 -0.04862457 -0.01506075]],0,[[0. 0. 0.]]
trump and the lawless republican party have turned this country into a shithole country with no justice no authority to enforce our laws any longer this potus and mcconnell senate are declaring that they are above our laws but the peasant citizens must obey the laws,[[0.49531332 0.5046867 ]],[[0.1294658  0.5036301  0.12181178]],[[ 0.22057943 -0.07432476 -0.02828798]],0,[[0. 0. 0.]]
we coming for your dollars better call the cops you want a war we got a nuclear holocaust,[[0.10370231 0.8962977 ]],[[0.31909707 0.09181765 0.11704448]],[[ 0.2368191  -0.02695714  0.00528365]],0,[[0. 0. 0.]]
f the gop it drowning itself in the bathtub unless you people are just going to give up and let these nazi puke sacks win i am never going to quit fighting white supremacists until they are gone republicans are the party of white supremacy that their identity 👻,[[0.01682506 0.983175  ]],[[0.44577613 0.9008716  0.31355354]],[[ 0.19759497 -0.02363514 -0.01809571]],0,[[1. 0. 0.]]
shoutout to all the dykes out here still fucking niggas,[[0.5527068  0.44729322]],[[0.5687526  0.00352438 0.7798572 ]],[[0.00786807 0.19338402 0.04535167]],1,[[1. 0. 0.]]
i am so glad to hear that <user> has joined the white supremacist movement with her towelhead comments now we can attack her with impunity cancel lily singh,[[0.11552799 0.8844721 ]],[[0.2502195 0.4099459 0.8300322]],[[ 0.18500982 -0.04853455 -0.00759382]],0,[[1. 0. 1.]]
everyday the same thing i have contracts on my life im going to get killed im dead its my fault im an nut a faggot everyone hates me the country wants me dead organize crime the police who does not want to see my die,[[0.0475505  0.95244956]],[[0.31374174 0.01779302 0.17242818]],[[ 0.1867112  -0.05029188  0.00216886]],0,[[0. 0. 0.]]
just had kabitch to the jeep,[[0.09514032 0.9048597 ]],[[0.04256718 0.9165049  0.23278598]],[[ 0.24269147 -0.04550685 -0.02047395]],0,[[0. 0. 0.]]
can i say nigger too,[[0.14809214 0.85190785]],[[0.9748161  0.00853234 0.10434666]],[[0.10697913 0.1087855  0.07533681]],0,[[1. 0. 0.]]
baby was a black sheep baby was a whore baby gotten big and baby getting bigger baby got some then baby want more baby baby baby was a rock roll nigger,[[0.00880402 0.99119604]],[[0.9837879  0.02337152 0.78614527]],[[ 0.10358641  0.04961623 -0.03446331]],0,[[0. 0. 0.]]
roflol as if a bunch of queers has any concept of what a good christian or any kind of christian is or does or would do my sides,[[0.19768372 0.80231625]],[[0.05836485 0.77436745 0.17655528]],[[ 0.22537974 -0.0588323  -0.01551962]],0,[[0. 0. 0.]]
niggers waste their entire lives running away from themselves,[[0.0128947  0.98710525]],[[0.8107254  0.05232837 0.43531406]],[[ 0.15425257 -0.00561247 -0.00573104]],0,[[1. 0. 0.]]
<user> ccp china z i is happy to kill all freedom fighter please pass hk human rights democracy act and free hong kong standwith hk,[[0.17233165 0.8276683 ]],[[0.05040204 0.09703162 0.0572921 ]],[[ 0.22340302 -0.07474303 -0.03656814]],0,[[0. 0. 0.]]
you are right jared we should not judge tara or lauren southern by their distant yid ancestry arguing percentages is frivolous but we should judge them on the positions they take on the issues,[[0.9740172  0.02598285]],[[0.04670995 0.6395075  0.69198114]],[[ 0.11727478  0.27475858 -0.034856  ]],1,[[0. 1. 0.]]
march for our lives protesters trash streets of d.c. after gun control march similar to environmental protests compare to conservative dan bake sale that left streets spic and span after <number> gathered in fort collins,[[0.97444916 0.02555087]],[[0.1272403  0.02595535 0.38280737]],[[-0.00806676  0.27313903  0.01112036]],1,[[1. 1. 0.]]
meryl streep in little women 🥺,[[0.32352826 0.6764717 ]],[[0.14159663 0.10655221 0.4866186 ]],[[ 0.2113623  -0.05201641 -0.01689039]],0,[[0. 0. 0.]]
gay vs moslem,[[0.3966464  0.60335356]],[[0.04245792 0.95767045 0.29686135]],[[ 0.2547111  -0.09919753 -0.0046544 ]],0,[[0. 0. 0.]]
<user> i love faggots and i love being queer i wear my rainbow stripes loud and motherfucking proud 🌈,[[0.20498577 0.79501426]],[[0.2671793  0.03758432 0.15676399]],[[ 0.2123387  -0.03767051 -0.00164514]],0,[[0. 0. 0.]]
<user> shit crazy i go from unsaving the niggers number to putting it right back as baby i be doin too much lol,[[0.49691898 0.503081  ]],[[0.83029056 0.00966536 0.19847558]],[[ 0.23050892 -0.03470392 -0.0090149 ]],0,[[1. 0. 0.]]
i am seething i fucking hate this shit so much it un fucking real haha separate art from artist bitch funding transphobe is good apparently lmao go eat shit,[[0.25737563 0.7426244 ]],[[0.05463376 0.06156044 0.7970105 ]],[[ 0.22317584 -0.05338306 -0.02157245]],0,[[0. 0. 1.]]
<user> oh you mean odumba the admitted mussie and admitted he was born in kenya and those are easy to find in a search,[[0.8499242  0.15007581]],[[0.24712166 0.3570994  0.02766136]],[[0.00302014 0.26393962 0.01128163]],1,[[1. 1. 0.]]
the atma contained in me used to occupy the body of oskar schindler there are nine thousand schindler jews who are only going to procreate i will not go near jews or israel until it aspires to or manifests a level of love prevalent at camp echo lake,[[0.02272337 0.97727656]],[[0.11926225 0.98906446 0.5211955 ]],[[ 0.15336993  0.05640649 -0.00452458]],0,[[0. 1. 0.]]
if you provided white level care in black brown nations it would be very expensive even without dieversecity as the hospitals in oil rich moslem nations who import skilled workers show,[[0.25494838 0.7450516 ]],[[0.60070467 0.90720665 0.300618  ]],[[ 0.22631021 -0.08029262 -0.01170674]],0,[[0. 1. 0.]]
a pussy hoe could never is so ghetto and i hate hearing it,[[0.07124843 0.9287516 ]],[[0.22604471 0.20142986 0.96888846]],[[ 0.19352967 -0.04647377 -0.02068119]],0,[[0. 0. 0.]]
crackheads call themselves crackheads we all know black people who call themselves niggers savages and thugs but is not it different when a white says the same words let us keep it <number>,[[0.01745524 0.98254484]],[[0.9955142 0.0177266 0.377841 ]],[[0.07906091 0.0621939  0.00188991]],0,[[1. 0. 0.]]
i know we are all worried about whether trump will cave on daca what will go on with the norks and the iranians whether we will stem the tide of moslem migration and postmodernist degeneracy but let us ask the real questions should i make soft pretzels or english muffins,[[0.40627375 0.5937263 ]],[[0.07657737 0.9799186  0.10924143]],[[ 0.25685093 -0.04852948 -0.02372279]],0,[[0. 0. 0.]]
asexual aromantic and agender are a part of the lgbtq community you morons,[[0.3879924  0.61200756]],[[0.05846437 0.12322619 0.49073756]],[[ 0.21628046 -0.06517799 -0.01341535]],0,[[0. 0. 0.]]
got told off in the butcher for asking for a welsh faggot apparently they are now called savoury ducks that explains why i was banned off facebook for the f word i used,[[0.00928533 0.99071467]],[[0.8268776  0.33393884 0.74808854]],[[ 0.12311213 -0.02345945 -0.01024668]],0,[[0. 0. 0.]]
ayo paging dr faggot got me crying 😭 😭 😭 😭 😭 😭 😭,[[0.44730708 0.55269295]],[[0.13735259 0.00850042 0.09892543]],[[ 0.25789097 -0.08959673 -0.01940229]],0,[[0. 0. 0.]]
if hopper is died you all niggers better count your fucking days <user>,[[0.07006241 0.9299376 ]],[[0.8168383  0.022148   0.08531541]],[[ 0.20806982 -0.00797617  0.02047862]],0,[[0. 0. 0.]]
<user> <user> now you know why valerie planet of the apes jarrett and barack porch monkey obanger rented an apartment across the street on pennsylvania boulevard it called a wiretap,[[0.9717737  0.02822631]],[[0.17511763 0.02093264 0.03338088]],[[0.01167767 0.27936128 0.00124016]],1,[[1. 0. 0.]]
so boring that this janitor has me blocked someone call this porch monkey to clean my mf toilet,[[0.7827342  0.21726574]],[[0.17694156 0.04753239 0.11678372]],[[0.01091131 0.2518838  0.02300149]],1,[[1. 0. 0.]]
i wuz tired of havin <number> pack of rib das nigger shit so i had <number>,[[0.01435458 0.98564535]],[[0.99052095 0.0279744  0.3658867 ]],[[0.08116762 0.02937561 0.00325194]],0,[[1. 0. 0.]]
be proud of your heritage no nigger could ever make this kind of art and no nigger will ever come close to being half the man as general robert e lee,[[0.01024207 0.9897579 ]],[[0.9948042  0.02520904 0.18019828]],[[0.05536065 0.0616946  0.03231011]],0,[[1. 0. 0.]]
a nigga have a baby on me i swear i ’ ll take out the whole family sorry not sorry 😋 🗡,[[0.9920105  0.00798956]],[[0.38299805 0.00415722 0.5054217 ]],[[-0.00773646  0.0754189   0.01498747]],1,[[1. 0. 0.]]
<user> let be honest multiculturalism is just a euphemism for hostile takeover by jews and non whites,[[0.9826245  0.01737558]],[[0.08724876 0.75297326 0.01703835]],[[-0.0089346   0.25528646 -0.01999491]],1,[[1. 1. 0.]]
you niggas is fake asl that ’ why you don ’ t see none round me,[[0.9929093  0.00709074]],[[0.5709402  0.00180112 0.4438801 ]],[[0.02035716 0.18122908 0.0080436 ]],1,[[1. 0. 0.]]
all you so called jewish people and asians you actually white supremes,[[0.80290323 0.19709674]],[[0.61344916 0.717886   0.2734897 ]],[[-0.01058474  0.27094004  0.01893117]],1,[[1. 1. 0.]]
<user> <user> well she ’ muslim so of course she hates the jews jew hatred is one of the defining feature of islam,[[0.9871874  0.01281259]],[[0.01577369 0.9219726  0.05079651]],[[0.10007768 0.25947312 0.06190431]],1,[[0. 1. 0.]]
<user> oh boy you are a retard but can be chill you remind me of the kid we used to fuck in the locker room before gym,[[0.937143   0.06285701]],[[0.03667978 0.00511017 0.2026151 ]],[[-0.03713579  0.31461263  0.00977686]],1,[[0. 0. 0.]]
if you ’ re an army that is republican you are not welcome here we hate you,[[0.6691853  0.33081475]],[[0.09461343 0.0578397  0.19719604]],[[-0.01938833  0.29115644  0.00167011]],1,[[0. 0. 0.]]
as the zionist controlled tech industry marginalises the voice of white interests i have applied for refugee status at gab first they came for dailystormer then they came for stormfront next they came for cuckservatives moral is stop punching right as you will be next,[[0.06487983 0.9351202 ]],[[0.52788174 0.904229   0.3472857 ]],[[ 0.23060337 -0.10396787  0.00905789]],0,[[0. 0. 0.]]
<user> <user> women can not be wise estrogen makes them retarded,[[0.9300481  0.06995186]],[[0.04476528 0.01328016 0.94052356]],[[-0.03660178  0.28994673  0.05682413]],1,[[0. 0. 1.]]
<user> are you gonna cry becuase someone insulted your precious ching chong singers,[[0.01695387 0.9830461 ]],[[0.19089812 0.54069924 0.04559273]],[[ 0.16809276 -0.02846862 -0.03520002]],0,[[0. 0. 0.]]
hillary is for women the following could not be reached for comment yazidi girls aborted girl babies syrian women and girls abandoned by their men we cannot print the comments of jones willey broaddrick etc dirtyhillary neverhillary,[[0.07432706 0.9256729 ]],[[0.06102466 0.4461684  0.96608466]],[[ 0.22563349 -0.05898989  0.03192217]],0,[[0. 1. 1.]]
protesters bcome rioters min violence starts all should be arrested prosecuted of course these fucking cops are not going <number> do shit as usual per orders i understand states make own laws but police should be under federal control so politicians can not stymie <number> agenda,[[0.40497425 0.5950258 ]],[[0.24435838 0.01083525 0.43003955]],[[ 0.24225195 -0.07841287 -0.01532441]],0,[[0. 0. 0.]]
plutonium is so ass it just a bunch of retards killing last <number> seconds into the game,[[0.31389898 0.686101  ]],[[0.07297514 0.0121599  0.12193619]],[[ 0.26246575 -0.11445657 -0.02698483]],0,[[0. 0. 0.]]
notice in europe they started with women and children same with those crossing our borders in pics of europe all young adult men daca <number> to <number> not children its a replacement plan,[[0.40766907 0.59233093]],[[0.04084753 0.07383413 0.8673324 ]],[[ 0.24285802 -0.08508366  0.00271864]],0,[[0. 0. 0.]]
<user> <user> please greece stop killing refugee children,[[0.46036193 0.5396381 ]],[[0.02630747 0.08454943 0.51656854]],[[ 0.25659227 -0.09142943 -0.01509666]],0,[[0. 0. 0.]]
<user> i am sorry isabelle but you are fucking retarded,[[0.8594914  0.14050856]],[[0.02699712 0.01012294 0.2113911 ]],[[-0.06496595  0.324249   -0.00258276]],1,[[0. 0. 0.]]
<user> <user> not migrants these are illegal immigrants which makes them criminals either lock them up or deport them,[[0.99085534 0.00914465]],[[0.03550918 0.00701803 0.10572405]],[[-0.03100246  0.2711089  -0.0061811 ]],1,[[0. 0. 0.]]
the french deserve to either end up as dhimmi moslem slaves or dead could there be anything more stupid apart from the politicians now running european countries france paris muslim islam islamofascism,[[0.04093545 0.9590646 ]],[[0.13998207 0.9819822  0.08177013]],[[ 0.24210465 -0.04724667 -0.02270323]],0,[[0. 1. 0.]]
i hate arabs why they said we all are working in macdonalds عمال_ماك,[[0.8822387  0.11776131]],[[0.12743425 0.37765333 0.22534113]],[[-0.00620201  0.294666    0.00824296]],1,[[0. 0. 0.]]
<user> niggas in london forget they just children of islander immigrants just like toronto niggas lmfao,[[0.9908261  0.00917398]],[[0.60239154 0.00691468 0.22608057]],[[ 0.01636078  0.25405884 -0.00397552]],1,[[1. 0. 0.]]
<user> <user> believe all women unless raped by a democrat then destroy the victim at all costs,[[0.89356434 0.10643563]],[[0.02585857 0.0734644  0.8695224 ]],[[-0.00753954  0.29025215  0.02219351]],1,[[0. 0. 1.]]
<user> talmud according to jews is just men commentary qur an according to muslims is literally the word of allah god we have to attack the qur an first because jews are not flying into buildings killing people plus is obvious no god would make so many mistakes as shown in qur an,[[0.8739949 0.1260051]],[[0.02307364 0.9747633  0.09443545]],[[0.03338592 0.37042964 0.02052956]],1,[[0. 1. 1.]]
i fucking hate armys,[[0.0356711 0.9643289]],[[0.3075095  0.04103523 0.6344799 ]],[[ 0.19706103 -0.03227589 -0.01359901]],0,[[0. 0. 0.]]
wow you think race has nothing to do with it why do we have all these ghettos in america you think race does not dictate behavior you really think these immigrants come here because they want to adopt your white american heritage why are they tearing your monuments down,[[0.9503679 0.0496321]],[[0.5074992  0.01567169 0.23856778]],[[-0.00335071  0.32467315  0.01901792]],1,[[1. 0. 0.]]
p at least harvey weinstein only raped and assaulted the gentiles not angelina jolie or gwyneth paltrow so he still a good jew 😂,[[0.71741986 0.28258017]],[[0.2120432  0.7941305  0.33185962]],[[0.03389015 0.25454712 0.03414899]],1,[[0. 1. 1.]]
the jews are less than <number> of the total world population so the only way you can be right is if all the jews are some kind of ultra wizards fyi the jews are not some kind of ultra wizards,[[0.06857613 0.93142384]],[[0.04049234 0.99446094 0.22822346]],[[ 0.26574627 -0.01872551 -0.02598183]],0,[[0. 1. 0.]]
jews often appropriate white identity and culture this crypsis is often selfishly motivated deceptive in the company of the goyim we jews must always identify ourselves as jews especially when espousing political opinions on israel and the middle east wear a star of david prominently,[[0.06072944 0.9392706 ]],[[0.16455628 0.99419385 0.31874222]],[[ 0.21368621 -0.05552698 -0.01133475]],0,[[0. 1. 0.]]
i dont care about hitler because i care about western people hitler allows millions of jews to pose as neonazis to cuck millions of gentiles from rebelling against jews for fear of being called a nazi,[[0.00661685 0.9933831 ]],[[0.2459858 0.9767169 0.864049 ]],[[ 0.21358621 -0.07264603 -0.04589906]],0,[[0. 1. 0.]]
just call them jews,[[0.15343255 0.84656745]],[[0.13575946 0.9608241  0.2725487 ]],[[ 0.27897257 -0.12547794  0.0229028 ]],0,[[0. 1. 0.]]
andrew anglin wants white women to be raped and beaten into submission he is just gross being out there just to shock white sharia is cancer and must be vehemently denounced,[[0.0647884  0.93521166]],[[0.43802473 0.7844225  0.89689523]],[[ 0.19821951 -0.05275714 -0.00465019]],0,[[1. 1. 0.]]
police are reporting they are on the look out for moslem convert terror suspect al samel haeed,[[0.47921994 0.52078   ]],[[0.03711541 0.9764979  0.17154618]],[[ 0.28776222 -0.05133658 -0.0353819 ]],0,[[0. 1. 0.]]
four days before i deactivate my twitter account and i do not miss it one bit gabfam outshines jackbrats it not even funny welcome all refugees 🖐,[[0.01175119 0.9882488 ]],[[0.6163495  0.36657575 0.7919928 ]],[[ 0.15346724 -0.02749075 -0.01358997]],0,[[0. 0. 0.]]
the civil rights movement was nothing more than a communist push for special rights for non whites via jewish legal teams capitalizing off media influenced white guilt and misplaced altruism that would change the face of america into what it is today,[[0.6811473 0.3188527]],[[0.44446442 0.81529725 0.2154308 ]],[[0.00110034 0.27555427 0.01652653]],1,[[1. 1. 0.]]
when america was white no ghettos no handouts almost no taxes no men of color trying to have sex with your <number> year old daughter almost no crime the left says the white communities must die out,[[0.84410113 0.15589884]],[[0.75811285 0.0098142  0.7281572 ]],[[0.0153399  0.3124167  0.03623004]],1,[[1. 0. 0.]]
per capita whites are doing much better than the chinese besides i think you are over estimating how much soy the average chinaman actually eats,[[0.11927955 0.8807205 ]],[[0.32777935 0.20571488 0.2496452 ]],[[0.28149778 0.02378835 0.06889561]],0,[[1. 0. 0.]]
no guys this based chinaman billionaire is going to make america great again,[[0.07130898 0.928691  ]],[[0.26159087 0.50346506 0.2313309 ]],[[ 0.21418785 -0.05327561 -0.01667281]],0,[[0. 0. 0.]]
it not just mainstream media i do not like the argument that many people on gab or any where on the interenet have yo my neighborhood had a bunch of asians and blacks moving in i moved cause i did not want to deal with that that not genocide,[[0.93798375 0.06201624]],[[0.86113626 0.04571109 0.14637658]],[[-0.00045725  0.30733213  0.01505061]],1,[[1. 0. 0.]]
now now with all of these needy white people crying out to beto y maria garcía from michoacan for remedial human reproductive sexual instruction the least you could do is inform them the kamasutra offers a frog position,[[0.49404433 0.5059557 ]],[[0.83694404 0.14263265 0.22035861]],[[ 0.20816053 -0.04943733 -0.00283552]],0,[[1. 0. 0.]]
diversity is a code word for white genocide,[[0.7456227 0.2543773]],[[0.79373515 0.01721553 0.5809213 ]],[[0.00281432 0.32856068 0.02174055]],1,[[1. 0. 0.]]
<user> may as well put you to good use <user> this is an example of a muslim catfish study it have fun with it but if you want to cry at me for a few more hrs i suppose that would just say some thing no,[[0.13330518 0.8666948 ]],[[0.18299669 0.63943374 0.04390226]],[[ 0.21411133 -0.05652682  0.03494125]],0,[[0. 1. 0.]]
for the record i do not think it can be denied that jews are nepotistic and intelligent with a strong in group preference what bothers me is that they will not allow anyone else the same priviledge,[[0.0504567  0.94954324]],[[0.07886805 0.9927713  0.2616701 ]],[[ 0.23468533 -0.03858167 -0.01558161]],0,[[0. 1. 0.]]
so there is nothing wrong with them leaving women alone if they are worthless to them,[[0.46415356 0.5358464 ]],[[0.06647653 0.06465657 0.98493385]],[[ 0.2369806  -0.09627455  0.01706343]],0,[[0. 0. 1.]]
i find when i tell liberals about what is happening in europe with refugees and islamic invasion and how women girls m as well as young boys gays lgbt and everyone native in that country are being assaulted raped and abused it is very effective at turning liberals red trump pizzagate,[[0.8062173  0.19378266]],[[0.07763804 0.9002797  0.7241327 ]],[[ 0.05126268  0.24317618 -0.00693761]],1,[[0. 1. 0.]]
i am starting to think it the jews 👀,[[0.60760254 0.39239743]],[[0.07338183 0.9474568  0.08591792]],[[0.06858427 0.16636102 0.07499658]],1,[[0. 1. 1.]]
should martin shkreli get raped in prison,[[0.93835443 0.0616456 ]],[[0.01339459 0.02646312 0.619868  ]],[[-0.03421526  0.3127538   0.0141032 ]],1,[[0. 0. 0.]]
these are the refugees that europe should be taking in,[[0.43979266 0.56020737]],[[0.03750566 0.11879183 0.4097827 ]],[[ 0.26452675 -0.08027917 -0.0185649 ]],0,[[0. 0. 1.]]
do asians like you ever feel any shame for invading us universities in such overwhelming numbers,[[0.4418654  0.55813456]],[[0.17140548 0.16020909 0.27087635]],[[ 0.1827286  -0.04666638 -0.01206815]],0,[[0. 0. 0.]]
