sentence,target_logits,concept_logits,concept_gradient,label,concept_label
color blue and white porcelain,[[0.9896954  0.01030456]],[[0.0611014  0.0181205  0.16123374]],[[ 0.00962387 -0.22458734 -0.14153326]],0,[[0. 0. 0.]]
amber guyer ass better get the maximum sentence but ik her white ass bout to skate i can feel it in my spirit 😒,[[0.98696077 0.01303924]],[[0.45374447 0.00717577 0.605404  ]],[[ 0.21083246 -0.20088029  0.01008359]],0,[[0. 0. 0.]]
<user> <user> <user> millions of yemeni children starve because of trump policies republicans i sleep a woman gets raped and does not want to carry his baby republicans real shit,[[0.9601562  0.03984379]],[[0.03316694 0.03962196 0.37312835]],[[ 0.19554447 -0.07499564 -0.02383271]],0,[[0. 0. 1.]]
in fact i can not find anything fuzzy or warm about my dutch ness we are a pretty dour people always having to stick our fingers in dykes while wearing wooden shoes does that to you,[[0.95501184 0.04498817]],[[0.17579219 0.00912605 0.36892924]],[[ 0.22293003 -0.08817077 -0.02419071]],0,[[0. 0. 1.]]
<user> oh yeah that too before twitter and before <number> months ago i only knew one lesbian couple that it all my friends were cishet white suburban guys,[[0.9962748  0.00372519]],[[0.05586785 0.00683608 0.2195767 ]],[[ 0.10509218 -0.10246321 -0.06386029]],0,[[0. 0. 0.]]
<user> same with arabs loll im arab but white af,[[0.68685275 0.31314728]],[[0.3593875  0.2509113  0.09789904]],[[ 0.21508972 -0.06251791 -0.01866687]],0,[[0. 0. 0.]]
fuck her she nothing but a kike that will play which ever side that will get her paid,[[0.00313293 0.9968671 ]],[[0.04215291 0.99656385 0.3064619 ]],[[0.04949738 0.29068696 0.00705348]],1,[[0. 1. 0.]]
crash on eb i <number> location eb i <number> at van dyke lanes blocked left shoulder left lane event type crash county macomb,[[0.97819257 0.02180742]],[[0.05850253 0.0209944  0.25890777]],[[ 0.2394152  -0.07377613 -0.02318669]],0,[[0. 0. 0.]]
<user> <user> racist scum who is also a threat to innocent citizens are embraced by deblasio horrible my prayers to this woman white black green yellow people should not go unchecked with this random violence hate,[[0.9244131  0.07558691]],[[0.3136082  0.0231909  0.46416786]],[[ 0.12056894 -0.20591524 -0.03494941]],0,[[0. 0. 0.]]
i am a nigger rabbi who sells bacon,[[0.00632392 0.993676  ]],[[0.9748292  0.23979576 0.3778279 ]],[[ 0.07580984  0.16300459 -0.00513736]],1,[[1. 1. 0.]]
tomorrow precap lit sidharth shukla wow yaar i think he will kill all the task in season bb13 bigg boss 13,[[0.9940057  0.00599434]],[[0.07837394 0.00932295 0.19022137]],[[ 0.1734894  -0.06751044 -0.02870977]],0,[[0. 0. 0.]]
in recent years we have frequently seen poor people suffer immensely in avoidable tragedies from the grenfell tower block fire in london to the burning of makeshift refugee camps across europe,[[0.9825187  0.01748135]],[[0.05062433 0.02182822 0.4729537 ]],[[ 0.19023767 -0.08526493 -0.01699944]],0,[[0. 0. 0.]]
idiot boy trudeau his somali moslem immigration minister ahmed hussen want to bring <number> <number> mildly retarded somali to canada to repopulate canada with the dumbest people on the face of the earth,[[0.05485178 0.94514817]],[[0.03834937 0.75995004 0.3937234 ]],[[0.04948649 0.25541556 0.00698563]],1,[[1. 1. 0.]]
kim kardashian is a negress by now anyway,[[0.03591996 0.96408004]],[[0.3178933  0.03292438 0.6838612 ]],[[0.01856469 0.22035514 0.01510205]],1,[[1. 0. 1.]]
monday kike nigga kike tuesday nigga kike nigga wednesday kike nigga kike thursday nigga kike nigga friday kike nigga kike saturday nigga kike nigga sunday kike nigga kike repeat yawn,[[0.08953822 0.9104618 ]],[[0.11607751 0.94352055 0.20278586]],[[0.01844813 0.31363016 0.01593396]],1,[[1. 1. 0.]]
they average more in cali with the feeding program but the skunks and coons eat well too,[[0.02449175 0.9755082 ]],[[0.5258775  0.1183671  0.15854385]],[[ 0.02666758  0.21117567 -0.01245725]],1,[[1. 0. 0.]]
blue jeans white t shirt,[[0.98234826 0.01765171]],[[0.21354821 0.03378537 0.1758013 ]],[[ 0.19448677 -0.09315669 -0.05647834]],0,[[0. 0. 0.]]
god damned kike whore cunt so sure that none of those cowards could ever get to her in her hymiewood mcmansion,[[0.00332098 0.99667907]],[[0.36329877 0.98067456 0.9150182 ]],[[0.00486763 0.21902452 0.0543143 ]],1,[[0. 1. 1.]]
ovomits a nigger and a half nigger,[[0.00581313 0.9941869 ]],[[0.9892095 0.0314237 0.716985 ]],[[0.17077948 0.07700142 0.04101744]],1,[[1. 0. 0.]]
he talking about hoes be thinking cause i buy you shit and give you money they gone get the same treatment 😭 😭,[[0.9921542  0.00784579]],[[0.0737723  0.00544137 0.85273355]],[[ 0.10684145 -0.18555178  0.06440727]],0,[[0. 0. 1.]]
as fully vested members of the same grisly club you can always count on the queers to side with the murderous abortionists in a moving display of solidarity among separate but equal planks in the culture of death ireland,[[0.02696433 0.9730357 ]],[[0.03807692 0.81418073 0.5471135 ]],[[0.07440671 0.23157494 0.00996455]],1,[[0. 0. 1.]]
dude you are a fucking idiot skepticism nihilism and trying to gaslight me are not arguments miss me with that kike shit,[[0.0052532  0.99474674]],[[0.04431486 0.9883264  0.28338778]],[[-0.05756202  0.25367147 -0.02500533]],1,[[0. 1. 0.]]
first mental breakdown of the year i fucking hate school,[[0.98690736 0.01309266]],[[0.0381099  0.00629153 0.2648872 ]],[[ 0.16237707 -0.08878762 -0.04267018]],0,[[0. 0. 0.]]
grown ass men doing women activities and lil faggot boys taking your daughter homecoming queen crown this what the fuck yall wanted,[[0.1044159  0.89558405]],[[0.1712959  0.01941538 0.7436644 ]],[[-0.01228611  0.25850242  0.03467868]],1,[[0. 0. 0.]]
mohammad bin salman al saud ordered the bone sawing of an american journalist i said only thing i wanna see or hear from that camel jockey prince is screams bone sawing him up live on t.v. and twitter gives me <number> hrs in das hole damn snowflakes,[[0.03713915 0.9628608 ]],[[0.55850494 0.85874444 0.25939932]],[[ 0.00926094  0.2304754  -0.00195046]],1,[[0. 0. 0.]]
<user> you are an entire nigger,[[0.05071272 0.9492873 ]],[[0.9801524 0.0072458 0.1594051]],[[ 0.13079715  0.293568   -0.02823251]],1,[[1. 0. 0.]]
i wonder how long until they can get the nigger stink out of the white house,[[0.00589333 0.99410665]],[[0.99220455 0.06762952 0.4275998 ]],[[0.12812528 0.19798607 0.00112522]],1,[[1. 0. 0.]]
<user> <user> your sweeping vision is to rob the taxpayers to support illegals release criminal illegals into our communities to rape and murder our children and to bankrupt the residents and small businesses with more taxes rather than lowering taxes <user> <user>,[[0.99366874 0.00633133]],[[0.02102056 0.01723155 0.05934619]],[[ 0.20098539 -0.06412817 -0.05873849]],0,[[0. 0. 0.]]
<user> they all look like me,[[0.9930559  0.00694414]],[[0.02281019 0.00484867 0.15646541]],[[ 0.13437468 -0.11859485 -0.05133046]],0,[[0. 0. 0.]]
you are in the grip of meme malware that is what i fight also muzzie invader scum,[[0.00626325 0.99373674]],[[0.10689745 0.9400157  0.04629397]],[[ 0.01371112  0.24441402 -0.03778636]],1,[[0. 1. 0.]]
me confuses theodore and we might watch game of his muslim ban got blocked by a nice meal,[[0.93325704 0.06674297]],[[0.02144623 0.8823183  0.23692402]],[[ 0.21177948 -0.00870574 -0.03087794]],0,[[0. 0. 0.]]
ye olde niggra tax makes us pay more for home car insurance police ambulance medical schools school resource officers school po po <happy> security entertainment we have to commute farther to work the niggra tax is endless in a perfect world muslims would blow up blacks <happy>,[[0.01752386 0.9824761 ]],[[0.97458965 0.17705831 0.551764  ]],[[0.14809205 0.15729044 0.0169098 ]],1,[[1. 1. 0.]]
match <number> a nigger wins a championship match <number> a nigger wins the battle royal now <number> niggers are singing fuck this whole thing im gonna play gta5 fuck wrestlemania 😡,[[0.0074825 0.9925175]],[[0.9946852  0.01755423 0.5020215 ]],[[ 0.20637168  0.01974205 -0.00055938]],1,[[1. 0. 0.]]
we need to go back and beat them and i mean hard so hard that the muzzies are to scared to ever step up in the world again crush their spirits now and brutally at that,[[0.00394334 0.9960567 ]],[[0.08154522 0.94170463 0.09685708]],[[0.06507416 0.14828767 0.02331426]],1,[[0. 1. 0.]]
egay o jungkook,[[0.87812024 0.12187976]],[[0.05750691 0.07585274 0.15779099]],[[ 0.24378978 -0.07788302 -0.03155173]],0,[[0. 0. 0.]]
<user> <user> nope it your imagination the tory party is full of white home county oaps,[[0.9926335  0.00736647]],[[0.1750067  0.02287694 0.07340958]],[[ 0.17828637 -0.08387705 -0.06406155]],0,[[0. 0. 0.]]
zuckerberg loves live streamed violence such as gang rapes the pitiful jew cunt but call a wetback a wetback and you get <number> days fucking psycho,[[0.00571186 0.99428815]],[[0.81315047 0.62754    0.9681892 ]],[[ 0.01451187  0.16515584 -0.00913819]],1,[[1. 1. 1.]]
<user> is going to let pedos run freely on gab advocating for child fucking but if you think nigger and jew rapists that want you enslaved and your kids raped should be killed you are the bad guy,[[0.00545169 0.99454826]],[[0.8183272  0.6571392  0.47990963]],[[-0.00424288  0.13812487  0.00491939]],1,[[1. 1. 0.]]
i am a proud nsdap member nazi was a kike slur i will not wear it nsd ap,[[0.00531711 0.99468285]],[[0.05350576 0.9908894  0.07556001]],[[0.02714118 0.28112555 0.0079615 ]],1,[[0. 1. 0.]]
a mentally ill low iq nigger goes full retard after being out on a pedestal and the world is shocked,[[0.00421841 0.99578154]],[[0.9871106  0.04129202 0.4958669 ]],[[0.14086662 0.10533159 0.00275091]],1,[[1. 0. 0.]]
what in the hillbilly did i just hear <user>,[[0.9836939  0.01630612]],[[0.02277476 0.13361719 0.09469597]],[[ 0.19712886 -0.04183528 -0.04350138]],0,[[0. 0. 0.]]
<user> dis nigga called us coons and niggers with a er am i missing something lmao,[[0.9837437  0.01625625]],[[0.746543   0.00530314 0.19970371]],[[ 0.25052518 -0.03457958 -0.01132543]],0,[[1. 0. 0.]]
<user> <user> <user> <user> naam tak rocky handsome se copy kiya hai itna bhi nahin janta ki tere baap dada bhi hindu the and turk came and raped and some turned muslim and idiots like you think you ruled us for <number> years ja pehle history pad phir baat karna,[[0.9954444  0.00455557]],[[0.03291295 0.26549476 0.01558354]],[[ 0.14207149  0.00266331 -0.12680195]],0,[[0. 0. 0.]]
it was another muzrat terrorist attack do not believe the could not get laid excuse,[[0.0031268 0.9968732]],[[0.10282558 0.9892356  0.08296517]],[[0.05687148 0.1898367  0.0263139 ]],1,[[0. 1. 0.]]
<user> seems like the liberals an moslem nations do not like prezz trumps r americas agenda at the g20 well then we need <number> walk out of the g20 an tell them lets see how long u last without americas help,[[0.9042097  0.09579031]],[[0.02249612 0.8324871  0.05066103]],[[ 0.24291487 -0.03911867 -0.04985741]],0,[[0. 0. 0.]]
<user> <user> <user> instead break pakistan no illegal pak muslim immigrants allowed in india i mean the word illegal,[[0.94371766 0.05628232]],[[0.00999378 0.6595603  0.05456206]],[[ 0.20195849 -0.0171679  -0.09772168]],0,[[0. 1. 0.]]
how can you get rid of one nigger and replace it with another nigger x and y was much better no nigero in sight,[[0.01065387 0.9893461 ]],[[0.9955428 0.0112318 0.3581079]],[[ 0.19481078  0.18783683 -0.00737851]],1,[[1. 0. 0.]]
a profile of a mudshark,[[0.00731804 0.9926819 ]],[[0.6806623  0.52161425 0.6749545 ]],[[0.03910083 0.17861237 0.01153528]],1,[[1. 0. 1.]]
chopra is a curry nigger who utters meaningless new age platitudes like only you can poison your soul,[[0.00468769 0.99531233]],[[0.9889443  0.05233576 0.23129584]],[[ 0.1419332   0.11654992 -0.02441007]],1,[[1. 0. 0.]]
i probably ended up another kike list somewhere lolz yeah no doubt plus jews like to keep tabs on us nazis idk why it not as though we are coming for them to put them in the ovens yet,[[0.00362341 0.9963766 ]],[[0.0449103  0.997162   0.15372512]],[[-0.0543635   0.28679025 -0.04671849]],1,[[0. 1. 0.]]
<user> <user> dawg at my last job all them white boys was married or was before n i always heard my fuckin whore ass wife dude,[[0.98856634 0.01143372]],[[0.2693861  0.00642515 0.19017245]],[[ 0.20024452 -0.12862258 -0.08471933]],0,[[1. 0. 1.]]
but if you are a nigger you can beat rape your way all down white street while screaming i hate white people never be charged with a hate crime,[[0.00618443 0.99381554]],[[0.9961133  0.04832029 0.36542523]],[[ 0.15376198  0.18592548 -0.00378952]],1,[[1. 0. 0.]]
<user> nigga fucking called me a faggot when i said these things to him,[[0.9806035  0.01939647]],[[0.6954524  0.00383685 0.17305313]],[[ 0.26674694 -0.0572042  -0.02197779]],0,[[1. 0. 0.]]
bonus points if she says people are gay fanny and she replies with happy,[[0.93805194 0.06194815]],[[0.04592941 0.00772316 0.91533715]],[[ 0.254507   -0.13394694  0.01105203]],0,[[0. 0. 0.]]
two of the people i am really getting sick and tired of seeing as guests on these evening news programs are that wild eyed gook malkin and the physically retarded jew krauthammer i change the channel when they come on there are others the list is growing,[[0.00363212 0.9963678 ]],[[0.07951779 0.9788802  0.43658295]],[[0.07492687 0.12217698 0.01051546]],1,[[1. 1. 0.]]
says the kike cunt trying to charge for premium content how that working for you 😆 obviously nobody gives a fuck what you have to say cuz you are a fucking joke go blow some wetbacks behind the burrito stand and you might make a buck lick balls heebhole premium cunt contributor,[[0.00424187 0.9957581 ]],[[0.28456345 0.90893656 0.83830935]],[[0.00241998 0.16626568 0.02589634]],1,[[1. 1. 1.]]
do not call me a nigger i am white,[[0.30453426 0.69546574]],[[0.98567665 0.01626574 0.09511194]],[[ 0.1136882   0.39459378 -0.02139296]],1,[[1. 0. 0.]]
edgy gg stans think being racist is ok i hate faggots,[[0.00930373 0.9906963 ]],[[0.15001436 0.3733687  0.20891693]],[[0.02655744 0.19229807 0.00495582]],1,[[0. 0. 0.]]
rip nehlen he may be married to a beaner and a christcuck but at least he aiming in the right direction,[[0.00616735 0.9938327 ]],[[0.7637236 0.4561415 0.5011611]],[[0.04771005 0.14560352 0.00140283]],1,[[1. 1. 0.]]
i am so pretty men and women love me,[[0.9933227  0.00667737]],[[0.02247446 0.01327028 0.7412764 ]],[[ 0.04748243 -0.12462983  0.02102961]],0,[[0. 0. 0.]]
i am a pumpkin bread slut,[[0.8829784 0.1170216]],[[0.1107171  0.03740858 0.73218614]],[[ 0.20519851 -0.09141402 -0.00623823]],0,[[0. 0. 0.]]
fuck off you nigger loving whore your mom need a slap upside the head for boring such a chicken shit pansy,[[0.00336123 0.9966388 ]],[[0.94804144 0.07001065 0.9489871 ]],[[0.044387   0.18645358 0.02139749]],1,[[1. 0. 1.]]
doctors are always giving women incorrect information on hormonal birth control or leaving out important information and it not okay,[[0.99092907 0.00907091]],[[0.01762167 0.05452894 0.8795447 ]],[[ 0.15468307 -0.0427656   0.015533  ]],0,[[0. 0. 0.]]
kiske to kick someone gay old for a gay little ass,[[0.75593805 0.24406202]],[[0.08879249 0.00737373 0.5439786 ]],[[ 0.15575956 -0.09921443 -0.01989889]],0,[[0. 0. 0.]]
musacchio suspended for being a retard blame giampaolo,[[0.98621446 0.01378552]],[[0.07066402 0.01612272 0.07798143]],[[ 0.11651186 -0.17870171 -0.13416474]],0,[[0. 0. 0.]]
started as trash ending as worthless nigger trash,[[0.00440368 0.99559635]],[[0.9679337  0.05863656 0.4516834 ]],[[0.06746299 0.20516172 0.00895464]],1,[[1. 0. 0.]]
is not it nice for the fuzzy muzzies to receive free resources at the expense of europeans so that they can render those charitable people extinct,[[0.00431896 0.99568105]],[[0.14405383 0.8517177  0.14695501]],[[0.05910213 0.15484291 0.02653982]],1,[[0. 1. 0.]]
<user> i agree racism is wrong as a principle and as a fellow queer it important to strive for an intersectional inclusion in our community hate speech is wrong calling someone white trash is wrong but it also important to acknowledge the pain and fight of fellow queer poc,[[0.98262805 0.01737203]],[[0.19650048 0.01015071 0.20658457]],[[ 0.11533205 -0.18853384 -0.12557113]],0,[[0. 0. 0.]]
<user> i went to a minor league ball game yesterday in a majority black city truly baseball is honky ball white families with kids as far as the eye could see it was packed,[[0.9953186  0.00468143]],[[0.4765791  0.00738893 0.10313896]],[[ 2.0698620e-01  3.2516105e-05 -1.9424057e-02]],0,[[1. 0. 0.]]
<user> chinaman satanist lee hsien loong malaysian criminals have been gossiping false information to the ntuc supermarket sembawang mart staff since mid <number> swift discoveries if questioned,[[0.92801183 0.07198813]],[[0.12446217 0.05253268 0.04541463]],[[ 0.22226606 -0.08524344 -0.06997377]],0,[[0. 0. 0.]]
<user> is concerned about kashmir she is not concerned that <user> threatened terrorism bloodshed and nuclear holocaust on <number> billion indian citizens in front of the whole world at unga,[[0.9950427  0.00495724]],[[0.01123273 0.06154664 0.10267477]],[[ 0.17440082 -0.01701053 -0.03656849]],0,[[0. 0. 0.]]
dear niggas police your own you filthy scum by the by any pedo or rapist should be burned at the stake not just the spook it just they seem to like that shit almost as much as scum moslem groomers,[[0.0039603 0.9960396]],[[0.4400985  0.9292334  0.44042835]],[[0.02638877 0.12405944 0.01146176]],1,[[1. 1. 0.]]
damn i have not seen a nigger get whipped that badly since kunta kinte,[[0.01014049 0.9898595 ]],[[0.99245065 0.03076298 0.27279297]],[[ 0.15130098  0.16646959 -0.01761752]],1,[[1. 0. 0.]]
can someone please find out if this judge is one of them looks like a crypto faggot kike to me,[[0.00364046 0.9963595 ]],[[0.02746195 0.9944518  0.29140237]],[[0.05179104 0.258534   0.00591605]],1,[[0. 1. 0.]]
<user> given that he <percent> of the globalists top <percent> are kikescum and that the dictatorship ruling over americans is largely comprised of jewfilth perverts and criminals pace wikileaks and that the most powerful banking factions are mostly ratfaced yids,[[0.02847283 0.9715272 ]],[[0.04517231 0.96861845 0.23347822]],[[0.10339109 0.18277262 0.03431761]],1,[[0. 1. 0.]]
i am the collector of all white sauces,[[0.9861602  0.01383976]],[[0.07266097 0.02006976 0.06902131]],[[ 0.10722279 -0.15652458 -0.13918215]],0,[[0. 0. 0.]]
<user> i hate everything about this film not to mention it basically validating radical white violence as a result of being forgotten by society,[[0.990815   0.00918504]],[[0.64717954 0.00749442 0.13781394]],[[ 0.21535721 -0.04512081 -0.03228958]],0,[[0. 0. 0.]]
<user> <user> we are believe that it will happen again and again after the <date> of the protest they want to kill all the protester to stop this protest action,[[0.9956909  0.00430914]],[[0.02926736 0.00727735 0.05786442]],[[ 0.14771557 -0.07614885 -0.05669417]],0,[[0. 0. 0.]]
cantwell is actually talking to federal agents and nehlen has a spic wife so what you are saying does not make sense the only reason i think you could be saying these things is if you are a subverter yourself,[[0.0092384 0.9907616]],[[0.7375389  0.24199228 0.8694268 ]],[[ 0.02436539  0.18035805 -0.00357062]],1,[[1. 0. 0.]]
labour loves the free movement of peoples in europe except when it leads to brown people feelings getting hurt this street shitting raghead need a one way ticket back to which ever shit hole country he crawled out of,[[0.00370787 0.9962921 ]],[[0.8463125  0.4276459  0.62258893]],[[0.0289232  0.14229333 0.00714489]],1,[[0. 0. 0.]]
fuck the nigger bitches,[[0.00469203 0.995308  ]],[[0.9880568  0.03036581 0.8426569 ]],[[0.10486567 0.24043521 0.02136374]],1,[[1. 0. 1.]]
<user> dey can suck my dick my po nd dat white ass judge,[[0.9407317  0.05926832]],[[0.34229425 0.01127647 0.44276294]],[[ 0.26445022 -0.09525612 -0.0231743 ]],0,[[0. 0. 0.]]
i am tired of niggas acting like carmelo anthony is trash,[[0.9946515  0.00534858]],[[0.3886494  0.00163262 0.4405975 ]],[[ 0.23324485  0.00442211 -0.01227146]],0,[[0. 0. 0.]]
but that you can not even articulate kike what is yes a kike is anyone who signals against myself or any other alt right person who only exposes jews and my posts judaism v the world among other posts have brought you to my timeline kike,[[0.00491235 0.9950877 ]],[[0.04971688 0.99660045 0.1736434 ]],[[-0.00317363  0.3287281  -0.01818511]],1,[[0. 1. 0.]]
i feel whoever dresses amy want her to look ridiculous love island,[[0.99301106 0.00698892]],[[0.01524296 0.01075959 0.46499482]],[[-0.01998968 -0.18662345 -0.02460326]],0,[[0. 0. 0.]]
you niggers are dumb,[[0.00484903 0.9951509 ]],[[0.9119423  0.06567083 0.29968208]],[[ 0.05458251  0.1931089  -0.00600279]],1,[[1. 0. 0.]]
western europeans united against the inferior subhuman mudslime filth,[[0.00304422 0.99695575]],[[0.42126584 0.8859257  0.41911128]],[[0.03612579 0.15318839 0.00269008]],1,[[0. 1. 0.]]
<user> <user> you all keep saying woke disney but the board of directors and presidents are all white besides one guy,[[0.9967765  0.00322354]],[[0.27864638 0.00357386 0.04973532]],[[ 0.19375975 -0.05117792 -0.05276546]],0,[[0. 0. 0.]]
cause why beg when it niggas out here begging me,[[0.99232084 0.00767915]],[[0.41041547 0.00281725 0.4626348 ]],[[0.23347646 0.04604836 0.0006436 ]],0,[[0. 0. 0.]]
there too many wypipo asking what this is and if they can get in this is a niggers only event,[[0.18676941 0.8132305 ]],[[0.84849924 0.02218893 0.24623223]],[[ 0.03755769  0.22917041 -0.01233528]],1,[[1. 0. 0.]]
<user> <user> <user> <user> <user> if your interpretation of a strong black man means you who follows white supremacy never read the malcolm x book thinking he about that life i think rosa would probably turn lesbian than to have a failing man,[[0.99378765 0.00621236]],[[0.12987955 0.011451   0.09857193]],[[ 0.1295006  -0.08600051 -0.07712924]],0,[[0. 0. 0.]]
you are officially a nigger or jew or oven middle class if you use the phrase white trash,[[0.00593897 0.99406105]],[[0.99110466 0.3059443  0.2911639 ]],[[0.1134468  0.19769    0.00033941]],1,[[1. 1. 0.]]
and that not even the last worst of what he did he claims he raped and murdered <number> girls in the <number> but would toy with the investigators by confessing and then later saying he did not remember etc,[[0.9820961  0.01790388]],[[0.02233376 0.02217581 0.53327924]],[[ 0.23572671 -0.06227412 -0.02169039]],0,[[0. 0. 0.]]
<user> <user> if you are black hispanic gay or lesbian or democrat it all good nothing you do can be construed as a crime however if you are white or republican you can get the death penalty for a parking ticket,[[0.9953886  0.00461133]],[[0.24924988 0.01262244 0.03260804]],[[ 0.13036153 -0.15217903 -0.16238636]],0,[[0. 0. 0.]]
<user> then you are retarded which is kinda true,[[0.9791054  0.02089464]],[[0.01468071 0.00903379 0.10679996]],[[ 0.14062454 -0.18512812 -0.09461537]],0,[[0. 0. 0.]]
shout out to whoever invented hot sauce,[[0.9867927  0.01320729]],[[0.05242006 0.01220639 0.19206846]],[[ 0.05396835 -0.20636915 -0.1006859 ]],0,[[0. 0. 0.]]
<user> god speed to whoever has to interview him,[[0.99398756 0.00601248]],[[0.02171089 0.02536904 0.16041417]],[[ 0.14594549 -0.04880758 -0.03567849]],0,[[0. 0. 0.]]
<user> where is the diversity video full of white people trust me very painful for the minority very painful,[[0.99663454 0.00336545]],[[0.1268245  0.00331708 0.11751711]],[[ 0.18200198 -0.03017697 -0.02738492]],0,[[0. 0. 0.]]
"<user> <number> interracial violent victimizations excluding homicide between blacks and whites last year including white on black and black on white attacks blacks committed <number> of those interracial felonies or <number> %, and whites committed <number> of them or less than <number>",[[0.9860243  0.01397564]],[[0.7698341  0.00758768 0.05462235]],[[ 0.28270772 -0.06622634 -0.04051007]],0,[[0. 0. 0.]]
my light skin joint got a white boy now i am not type to fight that back but if she ever come around imma widen that gap another bar from <user>,[[0.9748039  0.02519601]],[[0.5553734  0.00571809 0.22984488]],[[ 0.25547996 -0.19024555 -0.0814284 ]],0,[[0. 0. 0.]]
anyone leaked the info on who at youtube is the white supremacist neonazi fiddling with the algo seems that should drop next right along with the metrics linking up the infosec talking heads with their harassment and nazi socks right guise,[[0.60443425 0.39556572]],[[0.16903338 0.85164547 0.42537817]],[[ 0.22981547 -0.05663988 -0.01338105]],0,[[0. 0. 0.]]
